Date,Open,High,Low,Close
2025-03-21,84223.38,84850.33,83175.25,84088.79
2025-03-20,86845.93,87453.67,83655.23,84223.39
2025-03-19,82715.03,87000.0,82547.16,86845.94
2025-03-18,84010.02,84021.74,81134.66,82715.03
2025-03-17,82574.52,84756.83,82456.0,84010.03
2025-03-16,84338.44,85117.04,81981.12,82574.53
2025-03-15,83983.19,84676.28,83618.0,84338.44
2025-03-14,81115.78,85309.71,80818.84,83983.2
2025-03-13,83680.12,84336.33,79939.9,81115.78
2025-03-12,82932.99,84539.85,80607.65,83680.12
2025-03-11,78595.86,83617.4,76606.0,82932.99
2025-03-10,80734.48,84123.46,77459.91,78595.86
2025-03-09,86222.46,86500,80000.0,80734.37