Date,Time,Open,High,Low,Close,Volume
2002.05.01,00:00,0.91535,0.93705,0.90275,0.9339,19
2002.06.03,00:00,0.9339,0.9919,0.9329,0.9919,20
2002.07.01,00:00,0.9919,1.01195,0.9731,0.9775,23
2002.08.01,00:00,0.9775,0.9866,0.96635,0.9822,22
2002.09.02,00:00,0.9822,0.99695,0.9692,0.9875,19
2002.10.01,00:00,0.9875,0.9898,0.9709,0.9898,23
2002.11.01,00:00,0.9898,1.013,0.9898,0.9944,21
2002.12.02,00:00,0.9944,1.0439,0.9944,1.0435,21
2003.01.01,00:00,1.0435,1.0856,1.03615,1.0765,24
2003.02.03,00:00,1.0765,1.0883,1.0691,1.0801,20
2003.03.03,00:00,1.0801,1.1058,1.0525,1.0926,21
2003.04.01,00:00,1.0926,1.1174,1.0688,1.1174,22
2003.05.01,00:00,1.1174,1.19065,1.1174,1.1783,22
2003.06.02,00:00,1.1783,1.1877,1.1425,1.1506,21
2003.07.01,00:00,1.1506,1.1562,1.1174,1.1232,23
2003.08.01,00:00,1.1232,1.1387,1.0855,1.0984,21
2003.09.01,00:00,1.0984,1.1657,1.0809,1.1657,22
2003.10.01,00:00,1.1657,1.1811,1.1563,1.1583,23
2003.11.03,00:00,1.1583,1.1993,1.1408,1.1993,20
2003.12.01,00:00,1.1993,1.2578,1.1976,1.2578,23
2004.01.01,00:00,1.2578,1.2841,1.2352,1.2475,45
2004.02.02,00:00,1.2475,1.2837,1.2427,1.2494,40
2004.03.01,00:00,1.2494,1.2494,1.2121,1.2316,46
2004.04.01,00:00,1.2316,1.2363,1.1823,1.1981,44
2004.05.03,00:00,1.1981,1.2263,1.182,1.21875,42
2004.06.01,00:00,1.21875,1.2321,1.2005,1.2199,44
2004.07.01,00:00,1.2199,1.2451,1.20195,1.20195,44
2004.08.02,00:00,1.20195,1.2374,1.2013,1.2183,44
2004.09.01,00:00,1.2183,1.2434,1.2058,1.2434,44
2004.10.01,00:00,1.2434,1.28067,1.22845,1.2744,40
2004.11.01,00:00,1.2744,1.32952,1.2727,1.32952,44
2004.12.01,00:00,1.32952,1.3642,1.32125,1.3568,46
2005.01.03,00:00,1.3568,1.35815,1.29198,1.30386,781410
2005.02.01,00:00,1.30386,1.3279,1.27332,1.32286,649768
2005.03.01,00:00,1.32286,1.34806,1.2858,1.2963,713298
2005.04.01,00:00,1.2963,1.3125,1.27666,1.2872,714774
2005.05.02,00:00,1.2872,1.29892,1.22964,1.23034,643718
2005.06.01,00:00,1.23034,1.23526,1.1983,1.2108,797478
2005.07.01,00:00,1.2108,1.2255,1.18692,1.2122,780861
2005.08.01,00:00,1.2122,1.24866,1.2119,1.23468,846250
2005.09.01,00:00,1.23468,1.25892,1.19796,1.2027,820994
2005.10.03,00:00,1.2027,1.22038,1.18756,1.19922,773750
2005.11.01,00:00,1.19922,1.20846,1.16402,1.17878,782453
2005.12.01,00:00,1.17878,1.20615,1.16608,1.1848,722024
2006.01.02,00:00,1.1848,1.23232,1.18015,1.21558,474727
2006.02.01,00:00,1.21558,1.21636,1.1827,1.19214,188615
2006.03.01,00:00,1.19214,1.22066,1.18614,1.2118,233607
2006.04.03,00:00,1.2118,1.2641,1.20342,1.263,214104
2006.05.01,00:00,1.263,1.29697,1.2557,1.28102,389815
2006.06.01,00:00,1.28102,1.2979,1.2479,1.2791,348378
2006.07.03,00:00,1.2791,1.28676,1.24576,1.27668,295950
2006.08.01,00:00,1.27668,1.2938,1.26946,1.28128,303898
2006.09.01,00:00,1.28128,1.2874,1.26305,1.26745,285998
2006.10.02,00:00,1.26745,1.27872,1.2483,1.27618,312162
2006.11.01,00:00,1.27618,1.32744,1.26837,1.32428,347649
2006.12.01,00:00,1.32428,1.3367,1.3053,1.31977,479686
2007.01.01,00:00,1.31977,1.32964,1.28666,1.30323,623034
2007.02.01,00:00,1.30323,1.3259,1.29139,1.3229,454195
2007.03.01,00:00,1.3229,1.34112,1.30725,1.33545,426910
2007.04.02,00:00,1.33545,1.36808,1.33197,1.3648,411728
2007.05.01,00:00,1.3648,1.36731,1.34076,1.34532,537491
2007.06.01,00:00,1.34532,1.35542,1.32638,1.35415,357033
2007.07.02,00:00,1.35415,1.38522,1.35288,1.3684,363922
2007.08.01,00:00,1.3684,1.38405,1.33612,1.36295,536171
2007.09.03,00:00,1.36295,1.42786,1.35517,1.4267,369949
2007.10.01,00:00,1.4267,1.45042,1.40152,1.4487,479857
2007.11.01,00:00,1.4487,1.49682,1.44042,1.46335,652160
2007.12.03,00:00,1.46335,1.4771,1.43106,1.4592,516338
2008.01.01,00:00,1.4592,1.49224,1.43664,1.48604,774782
2008.02.01,00:00,1.48604,1.5239,1.44392,1.51786,712073
2008.03.03,00:00,1.51786,1.5905,1.51458,1.57884,772379
2008.04.01,00:00,1.57884,1.60194,1.55108,1.56226,814258
2008.05.01,00:00,1.56226,1.5818,1.52852,1.55539,710182
2008.06.02,00:00,1.55539,1.58432,1.53038,1.5756,765017
2008.07.01,00:00,1.5756,1.60388,1.5522,1.56038,910868
2008.08.01,00:00,1.56038,1.56312,1.45718,1.46735,961805
2008.09.01,00:00,1.46735,1.48662,1.38829,1.40922,1185607
2008.10.01,00:00,1.40922,1.41744,1.23298,1.27238,2383310
2008.11.03,00:00,1.27238,1.31165,1.23888,1.26909,2430871
2008.12.01,00:00,1.26909,1.47204,1.25494,1.39759,2132652
2009.01.01,00:00,1.39759,1.40565,1.27633,1.28127,2014839
2009.02.02,00:00,1.28127,1.3094,1.25134,1.26716,1795233
2009.03.02,00:00,1.26716,1.3739,1.24562,1.32508,1939810
2009.04.01,00:00,1.32508,1.35825,1.28854,1.32298,1584801
2009.05.01,00:00,1.32298,1.41692,1.32125,1.4149,1737482
2009.06.01,00:00,1.4149,1.43386,1.37482,1.40327,1576192
2009.07.01,00:00,1.40327,1.43046,1.38328,1.42571,1209118
2009.08.03,00:00,1.42571,1.44476,1.40456,1.4334,1051962
2009.09.01,00:00,1.4334,1.48446,1.41778,1.46429,1160256
2009.10.01,00:00,1.46429,1.50634,1.44808,1.47155,1277944
2009.11.02,00:00,1.47155,1.5144,1.46268,1.50046,1028843
2009.12.01,00:00,1.50046,1.51412,1.42173,1.43252,850485
2010.01.01,00:00,1.43252,1.45792,1.38623,1.38624,959019
2010.02.01,00:00,1.38624,1.40264,1.34438,1.36288,1038274
2010.03.01,00:00,1.36288,1.38182,1.32666,1.35091,1031175
2010.04.01,00:00,1.35091,1.3692,1.31144,1.32925,948018
2010.05.03,00:00,1.32925,1.33591,1.21445,1.23056,1819544
2010.06.01,00:00,1.23056,1.24849,1.18765,1.22372,1322452
2010.07.01,00:00,1.22372,1.31064,1.21936,1.30506,1071745
2010.08.02,00:00,1.30506,1.33352,1.2588,1.268,999308
2010.09.01,00:00,1.268,1.36836,1.26444,1.3635,1023437
2010.10.01,00:00,1.3635,1.41592,1.36194,1.39469,1275967
2010.11.01,00:00,1.39469,1.42822,1.29694,1.29825,1483998
2010.12.01,00:00,1.29825,1.34982,1.29714,1.33815,1070388
2011.01.03,00:00,1.33815,1.37588,1.28608,1.36934,1203866
2011.02.01,00:00,1.36934,1.38618,1.34291,1.38063,844581
2011.03.01,00:00,1.38063,1.42484,1.37434,1.41573,820790
2011.04.01,00:00,1.41573,1.4882,1.4062,1.4807,739862
2011.05.02,00:00,1.4807,1.49401,1.39696,1.43966,1228841
2011.06.01,00:00,1.43966,1.46963,1.40738,1.4502,1183859
2011.07.01,00:00,1.4502,1.45781,1.38372,1.4396,1112098
2011.08.01,00:00,1.4396,1.45487,1.40555,1.43696,1463315
2011.09.01,00:00,1.43696,1.43861,1.33626,1.33866,1403188
2011.10.03,00:00,1.33866,1.42475,1.31462,1.38577,1438857
2011.11.01,00:00,1.38577,1.38714,1.32123,1.3446,1382070
2011.12.01,00:00,1.3446,1.3549,1.28584,1.29625,790986
2012.01.02,00:00,1.29625,1.3234,1.2624,1.30838,777338
2012.02.01,00:00,1.30838,1.34866,1.29746,1.33245,768644
2012.03.01,00:00,1.33245,1.33853,1.30044,1.33424,640501
2012.04.02,00:00,1.33424,1.33805,1.29954,1.32392,591274
2012.05.01,00:00,1.32392,1.32838,1.23366,1.23654,782691
2012.06.01,00:00,1.23654,1.27477,1.22884,1.26646,896759
2012.07.02,00:00,1.26646,1.2681,1.20424,1.23042,787699
2012.08.01,00:00,1.23042,1.26376,1.21339,1.25759,910522
2012.09.03,00:00,1.25759,1.31721,1.25018,1.28579,845912
2012.10.01,00:00,1.28579,1.31394,1.2804,1.29601,801271
2012.11.01,00:00,1.29601,1.30276,1.26617,1.29851,783058
2012.12.03,00:00,1.29851,1.33081,1.28763,1.31972,817355
2013.01.01,00:00,1.31972,1.35944,1.29975,1.35774,1525588
2013.02.01,00:00,1.35774,1.3711,1.30185,1.30565,2732894
2013.03.01,00:00,1.30565,1.31345,1.2751,1.28185,3241270
2013.04.01,00:00,1.28185,1.32016,1.27453,1.31673,2213329
2013.05.01,00:00,1.31673,1.32428,1.27964,1.29974,2280716
2013.06.03,00:00,1.29974,1.34174,1.29554,1.30101,2249977
2013.07.01,00:00,1.30101,1.33452,1.27552,1.33025,1973532
2013.08.01,00:00,1.33025,1.3452,1.31732,1.32212,1572690
2013.09.02,00:00,1.32212,1.35688,1.3105,1.35262,1248935
2013.10.01,00:00,1.35262,1.38327,1.34726,1.35836,1492242
2013.11.01,00:00,1.35836,1.36218,1.32948,1.35912,1580261
2013.12.02,00:00,1.35912,1.38943,1.35244,1.37879,1397385
2014.01.01,00:00,1.37879,1.37879,1.3479,1.34854,1632532
2014.02.03,00:00,1.34854,1.3825,1.34769,1.38028,1211950
2014.03.03,00:00,1.38028,1.39668,1.37051,1.37692,1308095
2014.04.01,00:00,1.37692,1.39058,1.36728,1.38676,1143542
2014.05.01,00:00,1.38676,1.39936,1.3586,1.36334,978701
2014.06.02,00:00,1.36334,1.36981,1.3503,1.36923,944643
2014.07.01,00:00,1.36923,1.37006,1.3367,1.33904,737843
2014.08.01,00:00,1.33904,1.3445,1.3132,1.31326,494442
2014.09.01,00:00,1.31326,1.31602,1.25715,1.26308,381668
2014.10.01,00:00,1.26308,1.28878,1.24858,1.25244,708331
2014.11.03,00:00,1.25244,1.26002,1.23576,1.2451,689195
2014.12.01,00:00,1.2451,1.25696,1.20976,1.2101,630681
2015.01.01,00:00,1.2101,1.21076,1.10982,1.12853,957846
2015.02.02,00:00,1.12853,1.15342,1.11762,1.11968,709260
2015.03.02,00:00,1.11968,1.12404,1.04625,1.07313,2183819
2015.04.01,00:00,1.07313,1.12663,1.05204,1.12226,2391263
2015.05.01,00:00,1.12226,1.1467,1.08191,1.09909,2252647
2015.06.01,00:00,1.09909,1.14364,1.08871,1.11381,2360834
2015.07.01,00:00,1.11381,1.1216,1.08086,1.0985,1860927
2015.08.03,00:00,1.0985,1.17141,1.0848,1.12111,2008258
2015.09.01,00:00,1.12111,1.14603,1.10874,1.11768,1877855
2015.10.01,00:00,1.11768,1.14954,1.0897,1.10062,1672802
2015.11.02,00:00,1.10062,1.10528,1.05578,1.05648,1577535
2015.12.01,00:00,1.05648,1.10596,1.05237,1.08697,1991269
2016.01.01,00:00,1.08697,1.09846,1.07106,1.08307,2187454
2016.02.01,00:00,1.08307,1.13766,1.08146,1.08727,2417087
2016.03.01,00:00,1.08727,1.1412,1.0822,1.138,2066692
2016.04.01,00:00,1.138,1.1465,1.12182,1.14488,1976072
2016.05.02,00:00,1.14488,1.16164,1.10978,1.11319,1696292
2016.06.01,00:00,1.11319,1.14282,1.0912,1.11062,2317255
2016.07.01,00:00,1.11062,1.11976,1.09521,1.11746,1748298
2016.08.01,00:00,1.11746,1.13664,1.10458,1.11582,1534902
2016.09.01,00:00,1.11582,1.13273,1.1123,1.12423,1761026
2016.10.03,00:00,1.12423,1.12448,1.0851,1.09814,1622376
2016.11.01,00:00,1.09814,1.12998,1.05182,1.05896,2622631
2016.12.01,00:00,1.05896,1.08744,1.03524,1.05204,2118149
2017.01.02,00:00,1.05204,1.08124,1.03402,1.07974,2727759
2017.02.01,00:00,1.07974,1.0829,1.04938,1.05764,1759386
2017.03.01,00:00,1.05764,1.09065,1.0495,1.06548,3105421
2017.04.03,00:00,1.06548,1.0951,1.05697,1.08962,1902729
2017.05.01,00:00,1.08962,1.12684,1.08392,1.12434,1685876
2017.06.01,00:00,1.12434,1.14456,1.1119,1.14252,1631372
2017.07.03,00:00,1.14252,1.18458,1.13126,1.1842,2341230
2017.08.01,00:00,1.1842,1.20705,1.16622,1.19092,3663025
2017.09.01,00:00,1.19092,1.2093,1.17169,1.18152,3973254
2017.10.02,00:00,1.18152,1.188,1.15739,1.16456,3012690
2017.11.01,00:00,1.16456,1.19612,1.15536,1.19045,2923889
2017.12.01,00:00,1.19045,1.20258,1.17178,1.20025,2348149
2018.01.01,00:00,1.20025,1.25378,1.19158,1.24142,4065617
2018.02.01,00:00,1.24142,1.2556,1.21875,1.2194,4259808
2018.03.01,00:00,1.2194,1.24766,1.21542,1.23237,3817980
2018.04.02,00:00,1.23237,1.2414,1.20552,1.20798,3230546
2018.05.01,00:00,1.20798,1.20842,1.15098,1.16941,4518698
2018.06.01,00:00,1.16941,1.18522,1.15078,1.1685,4307353
2018.07.02,00:00,1.1685,1.1791,1.15746,1.16894,3666976
2018.08.01,00:00,1.16894,1.17338,1.13008,1.16019,3660890
2018.09.03,00:00,1.16019,1.18154,1.1526,1.16042,2902113
2018.10.01,00:00,1.16042,1.16252,1.13019,1.13117,4164783
2018.11.01,00:00,1.13117,1.15001,1.12154,1.13181,4148268
2018.12.03,00:00,1.13181,1.14856,1.12695,1.14657,3537276
2019.01.01,00:00,1.14657,1.15703,1.12892,1.14473,3695084
2019.02.01,00:00,1.14473,1.14886,1.12342,1.13706,1299510
2019.03.01,00:00,1.13706,1.14482,1.11763,1.12176,1460896
2019.04.01,00:00,1.12176,1.13239,1.11114,1.12153,1130120
2019.05.01,00:00,1.12153,1.12648,1.11071,1.11688,1316303
2019.06.03,00:00,1.11688,1.14122,1.11603,1.13721,1480057
2019.07.01,00:00,1.13721,1.13721,1.10602,1.10766,1300656
2019.08.01,00:00,1.10766,1.12496,1.09632,1.09905,1832206
2019.09.02,00:00,1.09905,1.11096,1.08846,1.08986,1474103
2019.10.01,00:00,1.08986,1.11795,1.08792,1.11509,1505274
2019.11.01,00:00,1.11509,1.11755,1.09812,1.10188,928064
2019.12.02,00:00,1.10188,1.12393,1.1003,1.12121,951509
2020.01.01,00:00,1.12121,1.12247,1.09924,1.10945,1019675
2020.02.03,00:00,1.10945,1.10956,1.07778,1.10277,1275134
2020.03.02,00:00,1.10277,1.14963,1.06361,1.10336,4482504
2020.04.01,00:00,1.10336,1.10388,1.07272,1.0952,2033619
2020.05.01,00:00,1.0952,1.11454,1.07666,1.11053,1698372
2020.06.01,00:00,1.11053,1.14222,1.11004,1.12331,2596654
2020.07.01,00:00,1.12331,1.19088,1.11848,1.1779,2392772
2020.08.03,00:00,1.1779,1.19659,1.16959,1.19362,2411864
2020.09.01,00:00,1.19362,1.20114,1.16124,1.17208,2499230
2020.10.01,00:00,1.17208,1.18808,1.164,1.16476,1920430
2020.11.02,00:00,1.16476,1.20033,1.16027,1.19249,2038450
2020.12.01,00:00,1.19249,1.23102,1.19249,1.22156,1954046
2021.01.01,00:00,1.22156,1.23496,1.20536,1.21376,2116665
2021.02.01,00:00,1.21376,1.22431,1.19524,1.20734,1942714
2021.03.01,00:00,1.20734,1.21134,1.17042,1.17308,2321722
2021.04.01,00:00,1.17308,1.215,1.17126,1.202,1504736
2021.05.03,00:00,1.202,1.22664,1.1986,1.22258,1858256
2021.06.01,00:00,1.22258,1.22545,1.18451,1.18566,1995103
2021.07.01,00:00,1.18566,1.19088,1.17518,1.18671,1919836
2021.08.02,00:00,1.18671,1.18998,1.1664,1.18088,1523569
2021.09.01,00:00,1.18088,1.19092,1.15626,1.15776,1649319
2021.10.01,00:00,1.15776,1.16923,1.15244,1.15619,1666254
2021.11.01,00:00,1.15619,1.16165,1.11861,1.13392,1887426
2021.12.01,00:00,1.13392,1.13864,1.12218,1.1373,1331438
2022.01.03,00:00,1.1373,1.14827,1.11214,1.1233,1412992
2022.02.01,00:00,1.1233,1.1495,1.11064,1.12194,2838195
2022.03.01,00:00,1.12194,1.12332,1.0806,1.10671,5282036
2022.04.01,00:00,1.10671,1.10764,1.04713,1.05453,3725244
2022.05.02,00:00,1.05453,1.0787,1.03492,1.07322,3979940
2022.06.01,00:00,1.07322,1.07742,1.03593,1.04834,3192382
2022.07.01,00:00,1.04834,1.04858,0.99522,1.02266,2857171
2022.08.01,00:00,1.02266,1.03688,0.99006,1.00544,2508996
2022.09.01,00:00,1.00544,1.01978,0.9536,0.98016,3018859
2022.10.03,00:00,0.98016,1.00938,0.96315,0.98828,3111846
2022.11.01,00:00,0.98828,1.04968,0.97302,1.04072,3080050
2022.12.01,00:00,1.04072,1.07362,1.03933,1.07039,2732926
2023.01.02,00:00,1.07039,1.09296,1.04833,1.08632,2690274
2023.02.01,00:00,1.08632,1.1033,1.05328,1.05753,2407521
2023.03.01,00:00,1.05753,1.09298,1.05161,1.08422,3019590
2023.04.03,00:00,1.08422,1.10956,1.07882,1.1017,1651196
2023.05.01,00:00,1.1017,1.1092,1.06352,1.06888,1945635
2023.06.01,00:00,1.06888,1.1012,1.06618,1.0911,1771101
2023.07.03,00:00,1.0911,1.12757,1.08336,1.09978,1903529
2023.08.01,00:00,1.09978,1.10652,1.07658,1.08434,2099250
2023.09.01,00:00,1.08434,1.08822,1.0488,1.05744,1553510
2023.10.02,00:00,1.05744,1.06946,1.04485,1.05743,1975881
2023.11.01,00:00,1.05743,1.10173,1.05166,1.08884,1805326
2023.12.01,00:00,1.08884,1.11396,1.07237,1.10374,1875355
2024.01.01,00:00,1.10374,1.10453,1.0795,1.08176,2031875
2024.02.01,00:00,1.08176,1.08976,1.078,1.0787,206258