symbol,unix_open,unix_close,date_open,date_close,open,high,low,close,volume,dollar_volume,tick_size
ETHUSDT,1683676594156,1683676762983,2023-05-09 23:56:34.156000,2023-05-09 23:59:22.983000,1847.53,1847.53,1846.22,1846.23,479.6913,885899.97,610
ETHUSDT,1683676423709,1683676594156,2023-05-09 23:53:43.709000,2023-05-09 23:56:34.156000,1848.19,1848.19,1847.22,1847.53,309.3819,571627.6,610
ETHUSDT,1683676174100,1683676423709,2023-05-09 23:49:34.100000,2023-05-09 23:53:43.709000,1848.4,1849.15,1848.19,1848.19,327.2344,604962.22,610
ETHUSDT,1683676079998,1683676174100,2023-05-09 23:47:59.998000,2023-05-09 23:49:34.100000,1848.57,1849.92,1848.4,1848.41,387.4707,716466.1,610
ETHUSDT,1683675911211,1683676079998,2023-05-09 23:45:11.211000,2023-05-09 23:47:59.998000,1847.19,1848.57,1847.19,1848.57,229.1878,423553.06,610
ETHUSDT,1683675672063,1683675911211,2023-05-09 23:41:12.063000,2023-05-09 23:45:11.211000,1846.0,1847.17,1845.52,1847.16,189.0635,349047.76,610
ETHUSDT,1683675406768,1683675672063,2023-05-09 23:36:46.768000,2023-05-09 23:41:12.063000,1845.99,1846.31,1845.52,1846.01,191.7188,353876.32,610
ETHUSDT,1683675225070,1683675406768,2023-05-09 23:33:45.070000,2023-05-09 23:36:46.768000,1845.82,1845.99,1844.68,1845.98,296.0308,546172.95,610
ETHUSDT,1683675007081,1683675225070,2023-05-09 23:30:07.081000,2023-05-09 23:33:45.070000,1845.62,1846.67,1845.62,1845.83,392.9154,725466.81,610
ETHUSDT,1683674768828,1683675007081,2023-05-09 23:26:08.828000,2023-05-09 23:30:07.081000,1845.96,1845.96,1845.27,1845.6,275.042,507587.41,610
ETHUSDT,1683674436603,1683674768738,2023-05-09 23:20:36.603000,2023-05-09 23:26:08.738000,1844.79,1845.96,1844.78,1845.95,264.1474,487482.2,610
ETHUSDT,1683674145708,1683674435446,2023-05-09 23:15:45.708000,2023-05-09 23:20:35.446000,1845.86,1845.86,1844.69,1844.79,228.6581,421894.95,610
ETHUSDT,1683673955472,1683674145708,2023-05-09 23:12:35.472000,2023-05-09 23:15:45.708000,1846.53,1846.76,1845.71,1845.91,305.5078,564012.36,610
ETHUSDT,1683673740011,1683673955472,2023-05-09 23:09:00.011000,2023-05-09 23:12:35.472000,1845.25,1846.77,1844.86,1846.52,295.2031,544883.01,610
ETHUSDT,1683673457103,1683673740008,2023-05-09 23:04:17.103000,2023-05-09 23:09:00.008000,1843.79,1845.25,1843.66,1845.24,422.8669,780036.35,610
ETHUSDT,1683673230428,1683673457102,2023-05-09 23:00:30.428000,2023-05-09 23:04:17.102000,1844.34,1844.79,1843.79,1843.79,362.4293,668358.95,610
ETHUSDT,1683673014347,1683673230388,2023-05-09 22:56:54.347000,2023-05-09 23:00:30.388000,1842.65,1844.5,1842.65,1844.33,380.6719,701751.06,610
ETHUSDT,1683672701693,1683673014318,2023-05-09 22:51:41.693000,2023-05-09 22:56:54.318000,1843.64,1843.64,1842.43,1842.61,315.5491,581602.51,610
ETHUSDT,1683672438033,1683672701622,2023-05-09 22:47:18.033000,2023-05-09 22:51:41.622000,1844.0,1844.0,1843.4,1843.64,280.9594,517986.19,610
ETHUSDT,1683672244228,1683672438025,2023-05-09 22:44:04.228000,2023-05-09 22:47:18.025000,1844.02,1844.2,1843.59,1844.01,667.9441,1231629.26,610
ETHUSDT,1683671968230,1683672244228,2023-05-09 22:39:28.230000,2023-05-09 22:44:04.228000,1843.2,1844.03,1843.2,1844.02,232.4886,428636.57,610
ETHUSDT,1683671799362,1683671965947,2023-05-09 22:36:39.362000,2023-05-09 22:39:25.947000,1842.25,1843.2,1842.24,1843.2,797.9631,1470615.41,610
ETHUSDT,1683671580006,1683671798276,2023-05-09 22:33:00.006000,2023-05-09 22:36:38.276000,1842.6,1842.6,1841.8,1842.24,273.3668,503613.71,610
ETHUSDT,1683671271084,1683671580006,2023-05-09 22:27:51.084000,2023-05-09 22:33:00.006000,1842.21,1843.0,1842.04,1842.61,243.5732,448770.21,610
ETHUSDT,1683670979989,1683671271084,2023-05-09 22:22:59.989000,2023-05-09 22:27:51.084000,1842.34,1842.63,1842.06,1842.21,328.8039,605770.31,610
ETHUSDT,1683670843746,1683670979987,2023-05-09 22:20:43.746000,2023-05-09 22:22:59.987000,1842.76,1842.76,1841.61,1842.35,628.0035,1156955.23,610
ETHUSDT,1683670657727,1683670842921,2023-05-09 22:17:37.727000,2023-05-09 22:20:42.921000,1842.35,1843.85,1842.11,1842.76,328.1821,604884.42,610
ETHUSDT,1683670486279,1683670657652,2023-05-09 22:14:46.279000,2023-05-09 22:17:37.652000,1842.39,1843.15,1842.34,1842.35,483.4499,890870.7,610
ETHUSDT,1683670364210,1683670486274,2023-05-09 22:12:44.210000,2023-05-09 22:14:46.274000,1843.35,1843.7,1842.1,1842.39,420.8745,775669.5,610
ETHUSDT,1683670212722,1683670362856,2023-05-09 22:10:12.722000,2023-05-09 22:12:42.856000,1841.52,1843.96,1841.47,1843.4,336.7669,620642.48,610
ETHUSDT,1683670018105,1683670212722,2023-05-09 22:06:58.105000,2023-05-09 22:10:12.722000,1841.62,1841.65,1841.39,1841.52,263.5171,485268.01,610
ETHUSDT,1683669952880,1683670018105,2023-05-09 22:05:52.880000,2023-05-09 22:06:58.105000,1842.11,1842.59,1841.62,1841.63,378.7649,697749.97,610
ETHUSDT,1683669833105,1683669952834,2023-05-09 22:03:53.105000,2023-05-09 22:05:52.834000,1842.32,1842.8,1841.62,1842.11,346.8509,639023.41,610
ETHUSDT,1683669712930,1683669833105,2023-05-09 22:01:52.930000,2023-05-09 22:03:53.105000,1842.96,1843.1,1842.31,1842.32,306.5091,564836.97,610
ETHUSDT,1683669659995,1683669712864,2023-05-09 22:00:59.995000,2023-05-09 22:01:52.864000,1842.29,1842.96,1841.33,1842.92,406.2855,748378.89,610
ETHUSDT,1683669575431,1683669659995,2023-05-09 21:59:35.431000,2023-05-09 22:00:59.995000,1842.48,1843.08,1842.29,1842.29,456.2554,840711.51,610
ETHUSDT,1683669513159,1683669575431,2023-05-09 21:58:33.159000,2023-05-09 21:59:35.431000,1842.95,1842.95,1842.06,1842.47,270.1137,497663.15,610
ETHUSDT,1683669431156,1683669513159,2023-05-09 21:57:11.156000,2023-05-09 21:58:33.159000,1844.57,1844.57,1842.96,1842.96,272.5162,502529.51,610
ETHUSDT,1683669281012,1683669431156,2023-05-09 21:54:41.012000,2023-05-09 21:57:11.156000,1844.64,1845.2,1844.3,1844.58,361.5386,666919.44,610
ETHUSDT,1683669179994,1683669281012,2023-05-09 21:52:59.994000,2023-05-09 21:54:41.012000,1845.59,1845.76,1844.22,1844.64,324.5008,598672.97,610
ETHUSDT,1683669043466,1683669179994,2023-05-09 21:50:43.466000,2023-05-09 21:52:59.994000,1847.64,1847.65,1845.21,1845.59,266.423,491886.37,610
ETHUSDT,1683668905251,1683669040601,2023-05-09 21:48:25.251000,2023-05-09 21:50:40.601000,1846.79,1848.25,1846.79,1847.65,223.4743,412922.15,610
ETHUSDT,1683668699979,1683668905251,2023-05-09 21:44:59.979000,2023-05-09 21:48:25.251000,1847.01,1847.02,1845.99,1846.79,238.0335,439458.04,610
ETHUSDT,1683668506929,1683668699979,2023-05-09 21:41:46.929000,2023-05-09 21:44:59.979000,1846.88,1847.58,1846.42,1847.02,293.5185,542146.64,610
ETHUSDT,1683668313844,1683668506929,2023-05-09 21:38:33.844000,2023-05-09 21:41:46.929000,1848.87,1848.88,1846.88,1846.89,214.117,395664.43,610
ETHUSDT,1683668210774,1683668313844,2023-05-09 21:36:50.774000,2023-05-09 21:38:33.844000,1848.02,1848.88,1848.01,1848.87,411.2369,760089.01,610
ETHUSDT,1683668028860,1683668210774,2023-05-09 21:33:48.860000,2023-05-09 21:36:50.774000,1847.37,1848.58,1847.37,1848.01,274.203,506680.21,610
ETHUSDT,1683667887080,1683668028858,2023-05-09 21:31:27.080000,2023-05-09 21:33:48.858000,1845.2,1847.39,1844.97,1847.38,289.9139,535276.35,610
ETHUSDT,1683667681369,1683667887080,2023-05-09 21:28:01.369000,2023-05-09 21:31:27.080000,1846.42,1846.49,1845.19,1845.2,304.9008,562868.75,610
ETHUSDT,1683667429414,1683667681369,2023-05-09 21:23:49.414000,2023-05-09 21:28:01.369000,1845.06,1846.42,1844.88,1846.4,218.3672,402951.69,610
